Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_CM_,Essential Medicine,"- Concept- Criteria",True,1,2024-02,,n=CM-parkpsm&ed=27&vol=0#1012,
S_CM_,Counterfeit Medicine,,True,1,2015-08,,n=CM-parkpsm&ed=27&vol=0#1023,
