Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_CM_,World Health Organisation,- Functions;- Dietary goals;- Role in health and disease,True,6,2024-02;2017-02;2012-08;2009-08;2006-02;2000-10,,n=CM-parkpsm&ed=27&vol=1#1026,
S_CM_,United Nation's Children's Fund,- Functions;- UNICEF's functions;- Role in health care delivery;- Role in child health,True,10,2023-02;2022-04;2021-09;2013-02;2011-02;2009-02;2008-02;2005-02;2000-10;2000-04,,n=CM-parkpsm&ed=27&vol=1#1029,
S_CM_,GOBIFFF,,True,2,2017-08;2012-02,,n=CM-parkpsm&ed=27&vol=1#1029,
